"time" "cases1"
"356" 355 2243
"357" 356 3560
"358" 357 3641
"359" 358 3694
"360" 359 3656
"361" 360 3490
"362" 361 8692
"363" 362 5912
"364" 363 7109
"365" 364 12427
"366" 365 16364
"367" 366 23417
"368" 367 11945
"369" 368 19437
"370" 369 11154
"371" 370 30907
"372" 371 7535
"373" 372 34669
"374" 373 17093
"375" 374 35166
"376" 375 16374
"377" 376 12752
"378" 377 27224
"379" 378 25118
"380" 379 23576
"381" 380 16735
"382" 381 17370
"383" 382 18434
"384" 383 17203
"385" 384 16488
"386" 385 6990
"387" 386 6421
"388" 387 4468
"389" 388 4440
"390" 389 8304
"391" 390 4033
"392" 391 3808
"393" 392 3755
"394" 393 1280
"395" 394 2449
"396" 395 1204
"397" 396 1621
"398" 397 1411
"399" 398 910
"400" 399 1085
"401" 400 1177
"402" 401 1260
"403" 402 862
"404" 403 1523
"405" 404 735
"406" 405 1224
"407" 406 1064
"408" 407 1506
"409" 408 1008
"410" 409 1688
"411" 410 1278
"412" 411 1442
"413" 412 2101
"414" 413 2765
"415" 414 2917
"416" 415 4525
"417" 416 7229
